mu_1,sigma_1,mu_2,sigma_2,mu_3,sigma_3,mu_4,sigma_4
9.0,13.5,9.0,7.5,5.0,13.5,5.0,7.5
9.0,5.0,9.0,2.5,5.0,5.0,5.0,2.5
9.0,5.5,9.0,2.75,5.0,5.5,5.0,2.75
9.0,6.0,9.0,3.0,5.0,6.0,5.0,3.0
9.0,6.5,9.0,3.25,5.0,6.5,5.0,3.25
9.0,7.0,9.0,3.5,5.0,7.0,5.0,3.5
9.0,7.5,9.0,3.75,5.0,7.5,5.0,3.75
9.0,8.0,9.0,4.0,5.0,8.0,5.0,4.0
9.0,8.5,9.0,4.25,5.0,8.5,5.0,4.25
9.0,9.0,9.0,4.5,5.0,9.0,5.0,4.5
9.0,9.5,9.0,4.75,5.0,9.5,5.0,4.75
9.0,10.0,9.0,5.0,5.0,10.0,5.0,5.0
9.0,10.5,9.0,5.25,5.0,10.5,5.0,5.25
9.0,11.0,9.0,5.5,5.0,11.0,5.0,5.5
9.0,11.5,9.0,5.75,5.0,11.5,5.0,5.75
9.0,12.0,9.0,6.0,5.0,12.0,5.0,6.0
9.0,12.5,9.0,6.25,5.0,12.5,5.0,6.25
9.0,13.0,9.0,6.5,5.0,13.0,5.0,6.5
9.0,13.5,9.0,6.75,5.0,13.5,5.0,6.75
9.0,14.0,9.0,7.0,5.0,14.0,5.0,7.0
9.0,14.5,9.0,7.25,5.0,14.5,5.0,7.25
9.0,15.0,9.0,7.5,5.0,15.0,5.0,7.5
10.0,3.0,10.0,2.5,5.0,3.0,5.0,2.5
10.0,3.3,10.0,2.75,5.0,3.3,5.0,2.75
10.0,3.6,10.0,3.0,5.0,3.6,5.0,3.0
10.0,3.9,10.0,3.25,5.0,3.9,5.0,3.25
10.0,4.2,10.0,3.5,5.0,4.2,5.0,3.5
10.0,4.5,10.0,3.75,5.0,4.5,5.0,3.75
10.0,4.8,10.0,4.0,5.0,4.8,5.0,4.0
